Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=NwqgH3ZHcuD2NL5QADNnX1TC,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=SUCHpiJECahwfDclGicov554,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=w53dDI3p4n1NYvRSvIgra45h,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=maOi79KAdHit2ZldeqBDXPKZ,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ZhCXc44YWpJvsTw4wMswMZi9,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Kuw2LD76bQtZsKM9Y82zw2ZX,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=bkElCqjde5OwyC0SlwFY8hAu,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=x8oKIBJbE6cjNRgMjDbSDEIq,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TVZdOEApX4rIPbjrwUSq1XIm,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Dr9w2dOZXhlZXvtgjeUEqG4t,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KzKJuAlKlzoRJzSvR6gvkYlE,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=PjfaKqBNnzp6dQgCDTSDGPLN,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=BNOvoLZxF7peMGUu8xNORYIB,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=T9ms4jhWW46Va7KuwJ5g745V,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tIe5goxX7qiY3vPzkG2GpVUb,N/A,
,N/A,Shetland Islands,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=vaOlLTacHQsbKKYJSuFufsc2,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gHR71jiG64PxHEyDIV3rScCT,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=BLAhtklBP0NHiUrVZq8xD8Yv,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=gKZ355wrrZyhNbLlJCoetYtu,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=WvXEHVsIzfrzMshh0qX5wpNa,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=iMPND2p59AfRIkidhkzgT3Gn,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0cfOFwbPymDXOExpeDvkMZyC,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7vsG3ttrY7aJPL2lzw1xhuvU,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rWnuIixcQ69Ppj7DCPQRaGlG,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=tRYiXQGEH3jXFnj8LgNvMgDg,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Um2LutWzR94qaRq3WTm0n0f4,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=xCySzOLwkGdCrRTCSt3SNMRP,N/A,
,N/A,The Changelings,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8E3mFOFBziXlT7I9kdBFMt01,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=sJ3I2BpT7TnTGuN7pGGqtj2w,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=GCmA07VfWh2G9XiPxFeJx6lM,N/A,
,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rgdhEij10GbvaLqAWwJeej5i,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=suX2PvshNXPFzDucZ9aBE5kJ,N/A,
504,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=uZfm7S0FkgByWilfgwhefhgB,N/A,xmlfiles/eng/trans-373.xml
530,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=giwyZhT2iCJM8sATdApJJAd3,N/A,xmlfiles/eng/trans-3255.xml
a8,"The sun, moon and stars – three siblings.","Kachin (Singpho), Chak",26,97.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=M7FTRjw6J0umQRjLjU3Y0A,https://www.ruthenia.ru/folklore/berezkin/a8.html,
c6i,Stuck mud turns into earth.,"Karachays, Balkar",44.0316,41.58252,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=t1ndCt3grk6b9cSfF4pj-w,https://www.ruthenia.ru/folklore/berezkin/c6i.html,
i20c1,Dwarves – inhabitants of rocks and hills.,"Scotland, Scots, Picts, Scotti, Scottish",57,-4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=YV96cRmHq0eL0qq01brVwQ,https://www.ruthenia.ru/folklore/berezkin/i20c1.html,
M120,"The Cannibal Nanny, ATU 37, Th. K931.",Utah,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3bb5a8739f1f4a70bee9ee49,https://www.ruthenia.ru/folklore/berezkin/m120.html,"Lowie 1924, No. 31 : 55-56"